whereItHappened,ts,f0_
connections,2024-07-01T00:00:00,15082
connections,2024-07-01T00:01:00,17324
connections,2024-07-01T00:02:00,20836
connections,2024-07-01T00:03:00,23863
connections,2024-07-01T00:04:00,25902
connections,2024-07-01T00:05:00,27474
connections,2024-07-01T00:06:00,28536
connections,2024-07-01T00:07:00,28819
connections,2024-07-01T00:08:00,29194
connections,2024-07-01T00:09:00,29219
connections,2024-07-01T00:10:00,29079
connections,2024-07-01T00:11:00,28602
connections,2024-07-01T00:12:00,28317
connections,2024-07-01T00:13:00,27693
connections,2024-07-01T00:14:00,27592
connections,2024-07-01T00:15:00,27147
connections,2024-07-01T00:16:00,26729
connections,2024-07-01T00:17:00,26288
connections,2024-07-01T00:18:00,26043
connections,2024-07-01T00:19:00,25705
connections,2024-07-01T00:20:00,25209
connections,2024-07-01T00:21:00,25090
connections,2024-07-01T00:22:00,24601
connections,2024-07-01T00:23:00,24501
connections,2024-07-01T00:24:00,23942
connections,2024-07-01T00:25:00,23620
connections,2024-07-01T00:26:00,23352
connections,2024-07-01T00:27:00,22899
connections,2024-07-01T00:28:00,22771
connections,2024-07-01T00:29:00,22660
connections,2024-07-01T00:30:00,22299
connections,2024-07-01T00:31:00,22178
connections,2024-07-01T00:32:00,21871
connections,2024-07-01T00:33:00,21701
connections,2024-07-01T00:34:00,21858
connections,2024-07-01T00:35:00,21384
connections,2024-07-01T00:36:00,21251
connections,2024-07-01T00:37:00,21205
connections,2024-07-01T00:38:00,20802
connections,2024-07-01T00:39:00,20806
connections,2024-07-01T00:40:00,20547
connections,2024-07-01T00:41:00,20446
connections,2024-07-01T00:42:00,20393
connections,2024-07-01T00:43:00,20400
connections,2024-07-01T00:44:00,20349
connections,2024-07-01T00:45:00,20068
connections,2024-07-01T00:46:00,20051
connections,2024-07-01T00:47:00,19903
connections,2024-07-01T00:48:00,19953
connections,2024-07-01T00:49:00,19599
connections,2024-07-01T00:50:00,19458
connections,2024-07-01T00:51:00,19224
connections,2024-07-01T00:52:00,19262
connections,2024-07-01T00:53:00,19180
connections,2024-07-01T00:54:00,19156
connections,2024-07-01T00:55:00,19262
connections,2024-07-01T00:56:00,18983
